Component,Analyzed value
Total,885
H2O,98.9
Fe,6450
Si,1830
Ca,1010
Zn,497
Cl,294
S,210
Ni,180
Mn,75.9
Ba,64.6
As,16.6
Cu,16.5
Rh,13.5
Co,(12.6)
Ag,(3.52)
Sr,3.51
Br,ND
Au,ND
Al,ND
P,ND
K,ND
Ti,ND
V,ND
Cr,ND
Se,ND
Rb,ND
Y,ND
Zr,ND
Mo,ND
Ru,ND
Pd,ND
Cd,ND
Sn,ND
Sb,ND
Pt,ND
Pb,ND
Sc,ND
Na,ND
Mg,ND






