Component,Analyzed value
Total,885
H2O,99.5
Fe,2150
Si,1150
Ca,654
Cl,283
Zn,257
S,194
Ni,165
P,87.0
Mn,32.9
Cd,22.7
Cu,17.3
As,17.1
Pd,6.08
Co,NULL
Ag,(3.51)
Pb,(3.46)
Sr,2.16
Au,NULL
Al,NULL
K,NULL
Ti,NULL
V,NULL
Cr,NULL
Se,NULL
Br,NULL
Rb,NULL
Y,NULL
Zr,NULL
Mo,NULL
Ru,NULL
Rh,NULL
Sn,NULL
Sb,NULL
Ba,NULL
Pt,NULL
Sc,NULL
Na,NULL
Mg,NULL






