Component,Analyzed value
Total,885
H2O,99.1
Fe,4780
Si,1400
Ca,731
Al,708
Zn,443
Cl,255
S,181
Ni,180
P,77.6
Mn,66.6
Ba,60.3
Cd,27.6
As,26.8
Cu,19.4
Co,(10.1)
Ag,(2.43)
Sr,2.16
Pb,NULL
Au,NULL
K,NULL
Ti,NULL
V,NULL
Cr,NULL
Se,NULL
Br,NULL
Rb,NULL
Y,NULL
Zr,NULL
Mo,NULL
Ru,NULL
Rh,NULL
Pd,NULL
Sn,NULL
Sb,NULL
Pt,NULL
Sc,NULL
Na,NULL
Mg,NULL






